id;address;tax_id;bank_account;uid;active;ad_organization_id
1;Persevering;Taiwan utilize relationships;schemas Table Arizona;9c949115-4bca-4e90-8be5-92bc1dc7df41;true;1
2;Graphic Interface;Bedfordshire;vortals;1b74ab37-9e57-47db-8087-c679cde458eb;true;2
3;Handmade;revolutionary Tasty Concrete Computer;Home;36be01bb-e4e6-4328-973e-3e8cc1d0c6a6;false;3
4;Senegal purple;Books virtual Chicken;magnetic Berkshire Hat;1baef92a-c198-4cd0-b2bd-dbf059ad75ff;false;4
5;compressing;Bhutan;Metal Heard Island and McDonald Islands;ee846f22-a3c1-4c2a-9bdb-aa40731cbe57;false;5
6;enterprise;Program zero defect;Electronics;9e1fe1cc-2574-44de-a03a-79b571506832;false;6
7;full-range Shoes;generate bypassing;pink;959bfbec-898a-4d2b-a1ca-52a456eb469a;false;7
8;calculate;back-end GB;pricing structure Sleek ivory;b0854563-04bb-412c-a9b0-174eaae1e55d;true;8
9;Concrete;National Incredible District;Toys synthesizing USB;c4884668-bfa8-4cf4-bf6b-22109d149e81;true;9
10;local withdrawal Cambridgeshire;enable hack Legacy;generate Chicken;3ec0df4a-4167-4025-93b7-9ff38da0d159;true;10
