id;uid;active;phone;position;employee;vendor;failed_login_count;last_login_date;user_id;ad_organization_id
1;450cd0aa-1c64-4659-9458-13215b911c49;true;1-118-999-1529;Checking Account wireless salm;false;true;49816;2020-10-20T21:22:56;1;1
2;d36652c1-286f-4840-bf26-158020dc2d95;true;123.309.1965;process improvement;false;true;50984;2020-10-21T03:58:19;1;2
3;98be50f8-f5b0-46c5-902f-773a55acae7a;true;996.798.1072 x785;Expressway Virgin Islands, U.S;false;false;51780;2020-10-20T18:00:58;2;3
4;22b56add-8dd3-4f6f-a921-e0ff4935cad8;false;1-356-477-4630 x7393;West Virginia Incredible Fresh;true;true;24151;2020-10-20T12:47:53;1;4
5;d5490146-d9f7-4162-b423-75c73cd7accc;false;882.258.3395;web-readiness;true;false;94884;2020-10-21T04:25:58;1;5
6;d2061ed2-88e6-493c-83ac-f8171a42d080;true;(250) 221-5160;generating cohesive enable;true;false;59511;2020-10-20T17:16:01;2;6
7;2885e7d9-b2db-4e44-bbe1-96b7b36fb507;false;811-541-1556;Technician sensor;true;false;96466;2020-10-20T19:02:44;2;7
8;c7c99b1b-c63d-47d5-858c-c58a058e0e63;true;1-591-082-6816;invoice Cook Islands;true;false;53869;2020-10-21T03:52:32;1;8
9;54886390-b45e-48e8-95e9-e89130564375;false;1-313-976-7805 x1807;communities Canadian Dollar in;true;false;53512;2020-10-20T17:31:00;2;9
10;bcbe91ba-9505-4361-8d22-dfecface3fa7;false;477-183-6625;calculating transmitting;false;false;57261;2020-10-20T21:14:48;1;10
