id;uid;position;phone;active;user_id;ad_organization_id
1;50b96e76-0b9f-4533-84df-80fc467fa93d;Principal solid state;1-061-496-1827 x5324;false;1;1
2;aeb66444-a993-41a0-82d7-43c90ac1011a;Handmade Customer;(497) 355-6123;false;2;2
3;50cbfcbc-ec82-4b4d-88f6-36b4d9d51325;array;1-349-175-0785 x35018;true;2;3
4;e308d757-ab09-4aa8-b246-8a8d75889f8e;Cambridgeshire Vermont Mexican Peso Mexican Unidad de Inversion (UDI);(725) 108-7730 x87198;true;2;4
5;63dc824e-1cc1-4572-bedf-a0cddc4ae68d;extend;1-502-425-6786 x7646;true;1;5
6;3642895d-e0d3-4884-8388-9bb0fadb5d3e;Checking Account multimedia;(918) 286-7062;true;2;6
7;7b6696a9-59bb-41ff-85da-138ae424cd49;Granite non-volatile;499.020.5039;false;1;7
8;7f6ee9d2-ba7d-4223-93e6-917f4445a642;Cambridgeshire;1-891-793-7414;false;1;8
9;1dcd98b2-964c-4b40-8f01-00a61a2ec9a6;Senior Generic Montana;918-218-4505;false;2;9
10;9fd45a11-dd80-4a01-bfab-d31ff9620ecd;interactive Synergized;638-880-1757;false;2;10
